ENSG0001	gene_1
ENSG0002261	gene_2261
ENSG0002262	gene_2262
ENSG0002263	gene_2263
ENSG0002264	gene_2264
ENSG0002265	gene_2265
ENSG0002266	gene_2266
ENSG0002267	gene_2267
ENSG0002268	gene_2268
ENSG0002269	gene_2269
ENSG0002270	gene_2270
ENSG0002271	gene_2271
ENSG0002272	gene_2272
ENSG0002273	gene_2273
ENSG0002274	gene_2274
ENSG0002275	MT-2275
ENSG0002276	gene_2276
ENSG0002277	gene_2277
ENSG0002278	gene_2278
ENSG0002279	gene_2279
ENSG0002280	gene_2280
ENSG0002281	gene_2281
ENSG0002282	gene_2282
ENSG0002283	gene_2283
ENSG0002284	gene_2284
ENSG0002285	MT-2285
ENSG0002286	gene_2286
ENSG0002287	gene_2287
ENSG0002288	gene_2288
ENSG0002289	gene_2289
ENSG0002290	gene_2290
ENSG0002291	MT-2291
ENSG0002292	gene_2292
ENSG0002293	gene_2293
ENSG0002294	gene_2294
ENSG0002295	MT-2295
ENSG0002296	MT-2296
ENSG0002297	gene_2297
ENSG0002298	gene_2298
ENSG0002299	gene_2299
ENSG0002300	gene_2300
ENSG0002301	MT-2301
ENSG0002302	gene_2302
ENSG0002303	gene_2303
ENSG0002304	gene_2304
ENSG0002305	gene_2305
ENSG0002306	MT-2306
ENSG0002307	gene_2307
ENSG0002308	gene_2308
ENSG0002309	gene_2309
ENSG0002310	MT-2310
ENSG0002311	gene_2311
ENSG0002312	gene_2312
ENSG0002313	gene_2313
ENSG0002314	gene_2314
ENSG0002315	MT-2315
ENSG0002316	gene_2316
ENSG0002317	gene_2317
ENSG0002318	gene_2318
ENSG0002319	gene_2319
ENSG0002320	gene_2320
ENSG0002321	gene_2321
ENSG0002322	gene_2322
ENSG0002323	MT-2323
ENSG0002324	gene_2324
ENSG0002325	gene_2325
ENSG0002326	gene_2326
ENSG0002327	gene_2327
ENSG0002328	gene_2328
ENSG0002329	gene_2329
ENSG0002330	MT-2330
ENSG0002331	gene_2331
ENSG0002332	gene_2332
ENSG0002333	gene_2333
ENSG0002334	gene_2334
ENSG0002335	gene_2335
ENSG0002336	gene_2336
ENSG0002337	gene_2337
ENSG0002338	gene_2338
ENSG0002339	MT-2339
ENSG0002340	gene_2340
ENSG0002341	gene_2341
ENSG0002342	gene_2342
ENSG0002343	gene_2343
ENSG0002344	gene_2344
ENSG0002345	gene_2345
ENSG0002346	gene_2346
ENSG0002347	gene_2347
ENSG0002348	gene_2348
ENSG0002349	gene_2349
ENSG0002350	gene_2350
ENSG0002351	gene_2351
ENSG0002352	MT-2352
ENSG0002353	gene_2353
ENSG0002354	gene_2354
ENSG0002355	MT-2355
ENSG0002356	gene_2356
ENSG0002357	gene_2357
ENSG0002358	gene_2358
ENSG0002359	gene_2359
ENSG0002360	gene_2360
ENSG0002361	gene_2361
ENSG0002362	MT-2362
ENSG0002363	gene_2363
ENSG0002364	gene_2364
ENSG0002365	gene_2365
ENSG0002366	gene_2366
ENSG0002367	MT-2367
ENSG0002368	gene_2368
ENSG0002369	gene_2369
ENSG0002370	gene_2370
ENSG0002371	gene_2371
ENSG0002372	gene_2372
ENSG0002373	gene_2373
ENSG0002374	gene_2374
ENSG0002375	gene_2375
ENSG0002376	gene_2376
ENSG0002377	gene_2377
ENSG0002378	MT-2378
ENSG0002379	gene_2379
ENSG0002380	gene_2380
ENSG0002381	gene_2381
ENSG0002382	MT-2382
ENSG0002383	gene_2383
ENSG0002384	gene_2384
ENSG0002385	gene_2385
ENSG0002386	gene_2386
ENSG0002387	gene_2387
ENSG0002388	gene_2388
ENSG0002389	gene_2389
ENSG0002390	gene_2390
ENSG0002391	gene_2391
ENSG0002392	gene_2392
ENSG0002393	gene_2393
ENSG0002394	gene_2394
ENSG0002395	gene_2395
ENSG0002396	gene_2396
ENSG0002397	gene_2397
ENSG0002398	gene_2398
ENSG0002399	gene_2399
ENSG0002400	gene_2400
ENSG0002401	gene_2401
ENSG0002402	gene_2402
ENSG0002403	gene_2403
ENSG0002404	gene_2404
ENSG0002405	gene_2405
ENSG0002406	gene_2406
ENSG0002407	MT-2407
ENSG0002408	gene_2408
ENSG0002409	gene_2409
ENSG0002410	gene_2410
ENSG0002411	gene_2411
ENSG0002412	gene_2412
ENSG0002413	gene_2413
ENSG0002414	gene_2414
ENSG0002415	gene_2415
ENSG0002416	MT-2416
ENSG0002417	gene_2417
ENSG0002418	gene_2418
ENSG0002419	gene_2419
ENSG0002420	gene_2420
ENSG0002421	gene_2421
ENSG0002422	gene_2422
ENSG0002423	gene_2423
ENSG0002424	gene_2424
ENSG0002425	gene_2425
ENSG0002426	gene_2426
ENSG0002427	MT-2427
ENSG0002428	gene_2428
ENSG0002429	gene_2429
ENSG0002430	gene_2430
ENSG0002431	MT-2431
ENSG0002432	gene_2432
ENSG0002433	MT-2433
ENSG0002434	gene_2434
ENSG0002435	gene_2435
ENSG0002436	gene_2436
ENSG0002437	gene_2437
ENSG0002438	MT-2438
ENSG0002439	gene_2439
ENSG0002440	gene_2440
ENSG0002441	gene_2441
ENSG0002442	gene_2442
ENSG0002443	gene_2443
ENSG0002444	gene_2444
ENSG0002445	gene_2445
ENSG0002446	MT-2446
ENSG0002447	gene_2447
ENSG0002448	gene_2448
ENSG0002449	gene_2449
ENSG0002450	MT-2450
ENSG0002451	gene_2451
ENSG0002452	gene_2452
ENSG0002453	gene_2453
ENSG0002454	gene_2454
ENSG0002455	gene_2455
ENSG0002456	gene_2456
ENSG0002457	gene_2457
ENSG0002458	gene_2458
ENSG0002459	gene_2459
ENSG0002460	gene_2460
ENSG0002461	gene_2461
ENSG0002462	gene_2462
ENSG0002463	gene_2463
ENSG0002464	gene_2464
ENSG0002465	gene_2465
ENSG0002466	MT-2466
ENSG0002467	gene_2467
ENSG0002468	gene_2468
ENSG0002469	gene_2469
ENSG0002470	gene_2470
ENSG0002471	gene_2471
ENSG0002472	gene_2472
ENSG0002473	MT-2473
ENSG0002474	gene_2474
ENSG0002475	gene_2475
ENSG0002476	gene_2476
ENSG0002477	gene_2477
ENSG0002478	gene_2478
ENSG0002479	gene_2479
ENSG0002480	gene_2480
ENSG0002481	gene_2481
ENSG0002482	gene_2482
ENSG0002483	gene_2483
ENSG0002484	gene_2484
ENSG0002485	gene_2485
ENSG0002486	gene_2486
ENSG0002487	gene_2487
ENSG0002488	gene_2488
ENSG0002489	gene_2489
ENSG0002490	gene_2490
ENSG0002491	gene_2491
ENSG0002492	gene_2492
ENSG0002493	gene_2493
ENSG0002494	gene_2494
ENSG0002495	gene_2495
ENSG0002496	gene_2496
ENSG0002497	gene_2497
ENSG0002498	gene_2498
ENSG0002499	gene_2499
ENSG0002500	gene_2500
ENSG0002501	gene_2501
ENSG0002502	gene_2502
ENSG0002503	gene_2503
ENSG0002504	gene_2504
ENSG0002505	gene_2505
ENSG0002506	gene_2506
ENSG0002507	gene_2507
ENSG0002508	gene_2508
ENSG0002509	gene_2509
ENSG0002510	gene_2510
ENSG0002511	gene_2511
ENSG0002512	MT-2512
ENSG0002513	MT-2513
ENSG0002514	gene_2514
ENSG0002515	gene_2515
ENSG0002516	gene_2516
ENSG0002517	gene_2517
ENSG0002518	gene_2518
ENSG0002519	gene_2519
ENSG0002520	gene_2520
ENSG0002521	gene_2521
ENSG0002522	gene_2522
ENSG0002523	gene_2523
ENSG0002524	gene_2524
ENSG0002525	gene_2525
ENSG0002526	MT-2526
ENSG0002527	MT-2527
ENSG0002528	gene_2528
ENSG0002529	gene_2529
ENSG0002530	gene_2530
ENSG0002531	gene_2531
ENSG0002532	MT-2532
ENSG0002533	gene_2533
ENSG0002534	gene_2534
ENSG0002535	MT-2535
ENSG0002536	gene_2536
ENSG0002537	gene_2537
ENSG0002538	gene_2538
ENSG0002539	MT-2539
ENSG0002540	gene_2540
ENSG0002541	gene_2541
ENSG0002542	gene_2542
ENSG0002543	gene_2543
ENSG0002544	gene_2544
ENSG0002545	gene_2545
ENSG0002546	gene_2546
ENSG0002547	gene_2547
ENSG0002548	gene_2548
ENSG0002549	gene_2549
ENSG0002550	gene_2550
ENSG0002551	gene_2551
ENSG0002552	gene_2552
ENSG0002553	gene_2553
ENSG0002554	gene_2554
ENSG0002555	gene_2555
ENSG0002556	gene_2556
ENSG0002557	gene_2557
ENSG0002558	gene_2558
ENSG0002559	gene_2559
ENSG0002560	gene_2560
ENSG0002561	gene_2561
ENSG0002562	gene_2562
ENSG0002563	gene_2563
ENSG0002564	gene_2564
ENSG0002565	gene_2565
ENSG0002566	gene_2566
ENSG0002567	gene_2567
ENSG0002568	gene_2568
ENSG0002569	gene_2569
ENSG0002570	gene_2570
ENSG0002571	gene_2571
ENSG0002572	gene_2572
ENSG0002573	gene_2573
ENSG0002574	gene_2574
ENSG0002575	gene_2575
ENSG0002576	gene_2576
ENSG0002577	gene_2577
ENSG0002578	gene_2578
ENSG0002579	gene_2579
ENSG0002580	gene_2580
ENSG0002581	gene_2581
ENSG0002582	gene_2582
ENSG0002583	gene_2583
ENSG0002584	MT-2584
ENSG0002585	gene_2585
ENSG0002586	MT-2586
ENSG0002587	gene_2587
ENSG0002588	gene_2588
ENSG0002589	gene_2589
ENSG0002590	gene_2590
ENSG0002591	gene_2591
ENSG0002592	gene_2592
ENSG0002593	gene_2593
ENSG0002594	MT-2594
ENSG0002595	MT-2595
ENSG0002596	gene_2596
ENSG0002597	gene_2597
ENSG0002598	gene_2598
ENSG0002599	gene_2599
ENSG0002600	gene_2600
ENSG0002601	gene_2601
ENSG0002602	MT-2602
ENSG0002603	gene_2603
ENSG0002604	gene_2604
ENSG0002605	gene_2605
ENSG0002606	gene_2606
ENSG0002607	gene_2607
ENSG0002608	gene_2608
ENSG0002609	gene_2609
ENSG0002610	MT-2610
ENSG0002611	gene_2611
ENSG0002612	gene_2612
ENSG0002613	gene_2613
ENSG0002614	gene_2614
ENSG0002615	gene_2615
ENSG0002616	gene_2616
ENSG0002617	gene_2617
ENSG0002618	gene_2618
ENSG0002619	gene_2619
ENSG0002620	gene_2620
ENSG0002621	gene_2621
ENSG0002622	gene_2622
ENSG0002623	gene_2623
ENSG0002624	gene_2624
ENSG0002625	MT-2625
ENSG0002626	gene_2626
ENSG0002627	gene_2627
ENSG0002628	gene_2628
ENSG0002629	gene_2629
ENSG0002630	MT-2630
ENSG0002631	gene_2631
ENSG0002632	gene_2632
ENSG0002633	gene_2633
ENSG0002634	MT-2634
ENSG0002635	gene_2635
ENSG0002636	gene_2636
ENSG0002637	gene_2637
ENSG0002638	gene_2638
ENSG0002639	gene_2639
ENSG0002640	gene_2640
ENSG0002641	gene_2641
ENSG0002642	gene_2642
ENSG0002643	gene_2643
ENSG0002644	gene_2644
ENSG0002645	MT-2645
ENSG0002646	MT-2646
ENSG0002647	gene_2647
ENSG0002648	gene_2648
ENSG0002649	gene_2649
ENSG0002650	gene_2650
ENSG0002651	gene_2651
ENSG0002652	MT-2652
ENSG0002653	gene_2653
ENSG0002654	gene_2654
ENSG0002655	gene_2655
ENSG0002656	gene_2656
ENSG0002657	gene_2657
ENSG0002658	gene_2658
ENSG0002659	gene_2659
ENSG0002660	gene_2660
ENSG0002661	MT-2661
ENSG0002662	gene_2662
ENSG0002663	gene_2663
ENSG0002664	gene_2664
ENSG0002665	gene_2665
ENSG0002666	gene_2666
ENSG0002667	gene_2667
ENSG0002668	gene_2668
ENSG0002669	gene_2669
ENSG0002670	gene_2670
ENSG0002671	gene_2671
ENSG0002672	gene_2672
ENSG0002673	gene_2673
ENSG0002674	gene_2674
ENSG0002675	gene_2675
ENSG0002676	gene_2676
ENSG0002677	gene_2677
ENSG0002678	gene_2678
ENSG0002679	gene_2679
ENSG0002680	gene_2680
ENSG0002681	gene_2681
ENSG0002682	MT-2682
ENSG0002683	gene_2683
ENSG0002684	gene_2684
ENSG0002685	gene_2685
ENSG0002686	gene_2686
ENSG0002687	gene_2687
ENSG0002688	MT-2688
ENSG0002689	gene_2689
ENSG0002690	MT-2690
ENSG0002691	gene_2691
ENSG0002692	gene_2692
ENSG0002693	gene_2693
ENSG0002694	gene_2694
ENSG0002695	gene_2695
ENSG0002696	gene_2696
ENSG0002697	MT-2697
ENSG0002698	gene_2698
ENSG0002699	gene_2699
ENSG0002700	gene_2700
ENSG0002701	gene_2701
ENSG0002702	gene_2702
ENSG0002703	gene_2703
ENSG0002704	MT-2704
ENSG0002705	gene_2705
ENSG0002706	gene_2706
ENSG0002707	gene_2707
ENSG0002708	gene_2708
ENSG0002709	gene_2709
ENSG0002710	gene_2710
ENSG0002711	gene_2711
ENSG0002712	gene_2712
ENSG0002713	gene_2713
ENSG0002714	gene_2714
ENSG0002715	gene_2715
ENSG0002716	gene_2716
ENSG0002717	gene_2717
ENSG0002718	gene_2718
ENSG0002719	gene_2719
ENSG0002720	gene_2720
ENSG0002721	gene_2721
ENSG0002722	gene_2722
ENSG0002723	gene_2723
ENSG0002724	gene_2724
ENSG0002725	gene_2725
ENSG0002726	gene_2726
ENSG0002727	gene_2727
ENSG0002728	gene_2728
ENSG0002729	gene_2729
ENSG0002730	gene_2730
ENSG0002731	MT-2731
ENSG0002732	gene_2732
ENSG0002733	gene_2733
ENSG0002734	gene_2734
ENSG0002735	MT-2735
ENSG0002736	gene_2736
ENSG0002737	gene_2737
ENSG0002738	gene_2738
ENSG0002739	gene_2739
ENSG0002740	gene_2740
ENSG0002741	gene_2741
ENSG0002742	gene_2742
ENSG0002743	gene_2743
ENSG0002744	gene_2744
ENSG0002745	gene_2745
ENSG0002746	MT-2746
ENSG0002747	gene_2747
ENSG0002748	gene_2748
ENSG0002749	MT-2749
ENSG0002750	gene_2750
ENSG0002751	gene_2751
ENSG0002752	gene_2752
ENSG0002753	gene_2753
ENSG0002754	gene_2754
ENSG0002755	gene_2755
ENSG0002756	gene_2756
ENSG0002757	gene_2757
ENSG0002758	gene_2758
ENSG0002759	gene_2759
ENSG0002760	gene_2760
ENSG0002761	gene_2761
ENSG0002762	gene_2762
ENSG0002763	gene_2763
ENSG0002764	gene_2764
ENSG0002765	gene_2765
ENSG0002766	gene_2766
ENSG0002767	gene_2767
ENSG0002768	gene_2768
ENSG0002769	gene_2769
ENSG0002770	gene_2770
ENSG0002771	MT-2771
ENSG0002772	gene_2772
ENSG0002773	gene_2773
ENSG0002774	MT-2774
ENSG0002775	gene_2775
ENSG0002776	gene_2776
ENSG0002777	gene_2777
ENSG0002778	gene_2778
ENSG0002779	gene_2779
ENSG0002780	gene_2780
ENSG0002781	gene_2781
ENSG0002782	gene_2782
ENSG0002783	MT-2783
ENSG0002784	gene_2784
ENSG0002785	gene_2785
ENSG0002786	gene_2786
ENSG0002787	gene_2787
ENSG0002788	gene_2788
ENSG0002789	gene_2789
ENSG0002790	gene_2790
ENSG0002791	MT-2791
ENSG0002792	gene_2792
ENSG0002793	gene_2793
ENSG0002794	gene_2794
ENSG0002795	gene_2795
ENSG0002796	gene_2796
ENSG0002797	gene_2797
ENSG0002798	gene_2798
ENSG0002799	gene_2799
ENSG0002800	gene_2800
ENSG0002801	MT-2801
ENSG0002802	MT-2802
ENSG0002803	gene_2803
ENSG0002804	gene_2804
ENSG0002805	gene_2805
ENSG0002806	MT-2806
ENSG0002807	gene_2807
ENSG0002808	gene_2808
ENSG0002809	gene_2809
ENSG0002810	MT-2810
ENSG0002811	MT-2811
ENSG0002812	gene_2812
ENSG0002813	gene_2813
ENSG0002814	gene_2814
ENSG0002815	gene_2815
ENSG0002816	gene_2816
ENSG0002817	gene_2817
ENSG0002818	gene_2818
ENSG0002819	gene_2819
ENSG0002820	gene_2820
ENSG0002821	gene_2821
ENSG0002822	gene_2822
ENSG0002823	gene_2823
ENSG0002824	gene_2824
ENSG0002825	MT-2825
ENSG0002826	gene_2826
ENSG0002827	gene_2827
ENSG0002828	gene_2828
ENSG0002829	gene_2829
ENSG0002830	gene_2830
ENSG0002831	MT-2831
ENSG0002832	gene_2832
ENSG0002833	gene_2833
ENSG0002834	gene_2834
ENSG0002835	gene_2835
ENSG0002836	gene_2836
ENSG0002837	gene_2837
ENSG0002838	gene_2838
ENSG0002839	gene_2839
ENSG0002840	gene_2840
ENSG0002841	gene_2841
ENSG0002842	gene_2842
ENSG0002843	gene_2843
ENSG0002844	gene_2844
ENSG0002845	gene_2845
ENSG0002846	gene_2846
ENSG0002847	gene_2847
ENSG0002848	gene_2848
ENSG0002849	gene_2849
ENSG0002850	gene_2850
ENSG0002851	MT-2851
ENSG0002852	gene_2852
ENSG0002853	gene_2853
ENSG0002854	gene_2854
ENSG0002855	gene_2855
ENSG0002856	gene_2856
ENSG0002857	gene_2857
ENSG0002858	gene_2858
ENSG0002859	gene_2859
ENSG0002860	gene_2860
ENSG0002861	gene_2861
ENSG0002862	gene_2862
ENSG0002863	gene_2863
ENSG0002864	gene_2864
ENSG0002865	gene_2865
ENSG0002866	gene_2866
ENSG0002867	gene_2867
ENSG0002868	gene_2868
ENSG0002869	gene_2869
ENSG0002870	gene_2870
ENSG0002871	gene_2871
ENSG0002872	gene_2872
ENSG0002873	gene_2873
ENSG0002874	gene_2874
ENSG0002875	MT-2875
ENSG0002876	gene_2876
ENSG0002877	gene_2877
ENSG0002878	gene_2878
ENSG0002879	gene_2879
ENSG0002880	gene_2880
ENSG0002881	gene_2881
ENSG0002882	gene_2882
ENSG0002883	gene_2883
ENSG0002884	gene_2884
ENSG0002885	gene_2885
ENSG0002886	gene_2886
ENSG0002887	gene_2887
ENSG0002888	gene_2888
ENSG0002889	gene_2889
ENSG0002890	MT-2890
ENSG0002891	gene_2891
ENSG0002892	gene_2892
ENSG0002893	gene_2893
ENSG0002894	gene_2894
ENSG0002895	gene_2895
ENSG0002896	gene_2896
ENSG0002897	gene_2897
ENSG0002898	gene_2898
ENSG0002899	gene_2899
ENSG0002900	gene_2900
ENSG0002901	gene_2901
ENSG0002902	gene_2902
ENSG0002903	gene_2903
ENSG0002904	MT-2904
ENSG0002905	gene_2905
ENSG0002906	gene_2906
ENSG0002907	gene_2907
ENSG0002908	gene_2908
ENSG0002909	gene_2909
ENSG0002910	gene_2910
ENSG0002911	gene_2911
ENSG0002912	gene_2912
ENSG0002913	gene_2913
ENSG0002914	gene_2914
ENSG0002915	gene_2915
ENSG0002916	gene_2916
ENSG0002917	gene_2917
ENSG0002918	gene_2918
ENSG0002919	gene_2919
ENSG0002920	gene_2920
ENSG0002921	gene_2921
ENSG0002922	MT-2922
ENSG0002923	gene_2923
ENSG0002924	gene_2924
ENSG0002925	gene_2925
ENSG0002926	gene_2926
ENSG0002927	gene_2927
ENSG0002928	gene_2928
ENSG0002929	gene_2929
ENSG0002930	gene_2930
ENSG0002931	gene_2931
ENSG0002932	gene_2932
ENSG0002933	gene_2933
ENSG0002934	gene_2934
ENSG0002935	gene_2935
ENSG0002936	gene_2936
ENSG0002937	gene_2937
ENSG0002938	gene_2938
ENSG0002939	gene_2939
ENSG0002940	gene_2940
ENSG0002941	gene_2941
ENSG0002942	gene_2942
ENSG0002943	gene_2943
ENSG0002944	gene_2944
ENSG0002945	gene_2945
ENSG0002946	gene_2946
ENSG0002947	gene_2947
ENSG0002948	gene_2948
ENSG0002949	gene_2949
ENSG0002950	gene_2950
ENSG0002951	gene_2951
ENSG0002952	gene_2952
ENSG0002953	gene_2953
ENSG0002954	gene_2954
ENSG0002955	gene_2955
ENSG0002956	gene_2956
ENSG0002957	gene_2957
ENSG0002958	gene_2958
ENSG0002959	gene_2959
ENSG0002960	gene_2960
ENSG0002961	gene_2961
ENSG0002962	gene_2962
ENSG0002963	MT-2963
ENSG0002964	gene_2964
ENSG0002965	gene_2965
ENSG0002966	gene_2966
ENSG0002967	gene_2967
ENSG0002968	gene_2968
ENSG0002969	gene_2969
ENSG0002970	MT-2970
ENSG0002971	gene_2971
ENSG0002972	MT-2972
ENSG0002973	gene_2973
ENSG0002974	MT-2974
ENSG0002975	gene_2975
ENSG0002976	gene_2976
ENSG0002977	gene_2977
ENSG0002978	gene_2978
ENSG0002979	gene_2979
ENSG0002980	gene_2980
ENSG0002981	gene_2981
ENSG0002982	gene_2982
ENSG0002983	gene_2983
ENSG0002984	gene_2984
ENSG0002985	gene_2985
ENSG0002986	gene_2986
ENSG0002987	gene_2987
ENSG0002988	gene_2988
ENSG0002989	gene_2989
ENSG0002990	gene_2990
ENSG0002991	gene_2991
ENSG0002992	gene_2992
ENSG0002993	gene_2993
ENSG0002994	gene_2994
ENSG0002995	gene_2995
ENSG0002996	gene_2996
ENSG0002997	gene_2997
ENSG0002998	gene_2998
ENSG0002999	gene_2999
ENSG0003000	gene_3000
ENSG0003001	gene_3001
ENSG0003002	gene_3002
ENSG0003003	MT-3003
ENSG0003004	gene_3004
ENSG0003005	gene_3005
ENSG0003006	gene_3006
ENSG0003007	gene_3007
ENSG0003008	gene_3008
ENSG0003009	gene_3009
ENSG0003010	gene_3010
ENSG0003011	gene_3011
ENSG0003012	gene_3012
ENSG0003013	gene_3013
ENSG0003014	gene_3014
ENSG0003015	gene_3015
ENSG0003016	gene_3016
ENSG0003017	gene_3017
ENSG0003018	gene_3018
ENSG0003019	gene_3019
ENSG0003020	gene_3020
ENSG0003021	gene_3021
ENSG0003022	gene_3022
ENSG0003023	gene_3023
ENSG0003024	gene_3024
ENSG0003025	gene_3025
ENSG0003026	gene_3026
ENSG0003027	gene_3027
ENSG0003028	gene_3028
ENSG0003029	gene_3029
ENSG0003030	gene_3030
ENSG0003031	gene_3031
ENSG0003032	gene_3032
ENSG0003033	gene_3033
ENSG0003034	gene_3034
ENSG0003035	gene_3035
ENSG0003036	gene_3036
ENSG0003037	gene_3037
ENSG0003038	gene_3038
ENSG0003039	gene_3039
ENSG0003040	gene_3040
ENSG0003041	gene_3041
ENSG0003042	gene_3042
ENSG0003043	gene_3043
ENSG0003044	MT-3044
ENSG0003045	gene_3045
ENSG0003046	gene_3046
ENSG0003047	gene_3047
ENSG0003048	gene_3048
ENSG0003049	gene_3049
ENSG0003050	gene_3050
ENSG0003051	gene_3051
ENSG0003052	gene_3052
ENSG0003053	gene_3053
ENSG0003054	gene_3054
ENSG0003055	MT-3055
ENSG0003056	gene_3056
ENSG0003057	gene_3057
ENSG0003058	gene_3058
ENSG0003059	gene_3059
ENSG0003060	gene_3060
ENSG0003061	gene_3061
ENSG0003062	gene_3062
ENSG0003063	gene_3063
ENSG0003064	gene_3064
ENSG0003065	gene_3065
ENSG0003066	MT-3066
ENSG0003067	gene_3067
ENSG0003068	gene_3068
ENSG0003069	gene_3069
ENSG0003070	gene_3070
ENSG0003071	gene_3071
ENSG0003072	gene_3072
ENSG0003073	gene_3073
ENSG0003074	gene_3074
ENSG0003075	MT-3075
ENSG0003076	gene_3076
ENSG0003077	gene_3077
ENSG0003078	gene_3078
ENSG0003079	gene_3079
ENSG0003080	gene_3080
ENSG0003081	gene_3081
ENSG0003082	gene_3082
ENSG0003083	MT-3083
ENSG0003084	gene_3084
ENSG0003085	gene_3085
ENSG0003086	gene_3086
ENSG0003087	gene_3087
ENSG0003088	gene_3088
ENSG0003089	MT-3089
ENSG0003090	gene_3090
ENSG0003091	gene_3091
ENSG0003092	MT-3092
ENSG0003093	gene_3093
ENSG0003094	gene_3094
ENSG0003095	gene_3095
ENSG0003096	gene_3096
ENSG0003097	gene_3097
ENSG0003098	gene_3098
ENSG0003099	gene_3099
ENSG0003100	gene_3100
ENSG0003101	MT-3101
ENSG0003102	gene_3102
ENSG0003103	MT-3103
ENSG0003104	gene_3104
ENSG0003105	gene_3105
ENSG0003106	gene_3106
ENSG0003107	gene_3107
ENSG0003108	gene_3108
ENSG0003109	gene_3109
ENSG0003110	gene_3110
ENSG0003111	gene_3111
ENSG0003112	gene_3112
ENSG0003113	gene_3113
ENSG0003114	gene_3114
ENSG0003115	gene_3115
ENSG0003116	gene_3116
ENSG0003117	gene_3117
ENSG0003118	gene_3118
ENSG0003119	gene_3119
ENSG0003120	gene_3120
ENSG0003121	gene_3121
ENSG0003122	gene_3122
ENSG0003123	gene_3123
ENSG0003124	gene_3124
ENSG0003125	MT-3125
ENSG0003126	gene_3126
ENSG0003127	gene_3127
ENSG0003128	gene_3128
ENSG0003129	gene_3129
ENSG0003130	gene_3130
ENSG0003131	gene_3131
ENSG0003132	gene_3132
ENSG0003133	gene_3133
ENSG0003134	MT-3134
ENSG0003135	gene_3135
ENSG0003136	MT-3136
ENSG0003137	gene_3137
ENSG0003138	gene_3138
ENSG0003139	gene_3139
ENSG0003140	gene_3140
ENSG0003141	gene_3141
ENSG0003142	gene_3142
ENSG0003143	gene_3143
ENSG0003144	gene_3144
ENSG0003145	gene_3145
ENSG0003146	gene_3146
ENSG0003147	gene_3147
ENSG0003148	gene_3148
ENSG0003149	gene_3149
ENSG0003150	gene_3150
ENSG0003151	gene_3151
ENSG0003152	gene_3152
ENSG0003153	gene_3153
ENSG0003154	gene_3154
ENSG0003155	MT-3155
ENSG0003156	gene_3156
ENSG0003157	gene_3157
ENSG0003158	gene_3158
ENSG0003159	MT-3159
ENSG0003160	gene_3160
ENSG0003161	gene_3161
ENSG0003162	gene_3162
ENSG0003163	gene_3163
ENSG0003164	gene_3164
ENSG0003165	gene_3165
ENSG0003166	MT-3166
ENSG0003167	gene_3167
ENSG0003168	gene_3168
ENSG0003169	gene_3169
ENSG0003170	gene_3170
ENSG0003171	gene_3171
ENSG0003172	MT-3172
ENSG0003173	gene_3173
ENSG0003174	gene_3174
ENSG0003175	gene_3175
ENSG0003176	gene_3176
ENSG0003177	gene_3177
ENSG0003178	gene_3178
ENSG0003179	gene_3179
ENSG0003180	gene_3180
ENSG0003181	gene_3181
ENSG0003182	gene_3182
ENSG0003183	gene_3183
ENSG0003184	MT-3184
ENSG0003185	gene_3185
ENSG0003186	gene_3186
ENSG0003187	gene_3187
ENSG0003188	gene_3188
ENSG0003189	gene_3189
ENSG0003190	gene_3190
ENSG0003191	gene_3191
ENSG0003192	gene_3192
ENSG0003193	gene_3193
ENSG0003194	gene_3194
ENSG0003195	gene_3195
ENSG0003196	MT-3196
ENSG0003197	gene_3197
ENSG0003198	gene_3198
ENSG0003199	gene_3199
ENSG0003200	gene_3200
ENSG0003201	gene_3201
ENSG0003202	gene_3202
ENSG0003203	MT-3203
ENSG0003204	gene_3204
ENSG0003205	gene_3205
ENSG0003206	gene_3206
ENSG0003207	gene_3207
ENSG0003208	gene_3208
ENSG0003209	gene_3209
ENSG0003210	gene_3210
ENSG0003211	gene_3211
ENSG0003212	gene_3212
ENSG0003213	gene_3213
ENSG0003214	gene_3214
ENSG0003215	gene_3215
ENSG0003216	gene_3216
ENSG0003217	gene_3217
ENSG0003218	gene_3218
ENSG0003219	gene_3219
ENSG0003220	gene_3220
ENSG0003221	gene_3221
ENSG0003222	MT-3222
ENSG0003223	gene_3223
ENSG0003224	MT-3224
ENSG0003225	gene_3225
ENSG0003226	gene_3226
ENSG0003227	MT-3227
ENSG0003228	gene_3228
ENSG0003229	gene_3229
ENSG0003230	gene_3230
ENSG0003231	gene_3231
ENSG0003232	gene_3232
ENSG0003233	gene_3233
ENSG0003234	gene_3234
ENSG0003235	gene_3235
ENSG0003236	gene_3236
ENSG0003237	gene_3237
ENSG0003238	gene_3238
ENSG0003239	gene_3239
ENSG0003240	gene_3240
ENSG0003241	gene_3241
ENSG0003242	gene_3242
ENSG0003243	gene_3243
ENSG0003244	gene_3244
ENSG0003245	gene_3245
ENSG0003246	MT-3246
ENSG0003247	gene_3247
ENSG0003248	MT-3248
ENSG0003249	gene_3249
ENSG0003250	gene_3250
ENSG0003251	MT-3251
ENSG0003252	gene_3252
ENSG0003253	gene_3253
ENSG0003254	gene_3254
ENSG0003255	MT-3255
ENSG0003256	gene_3256
ENSG0003257	gene_3257
ENSG0003258	gene_3258
ENSG0003259	gene_3259
